Fecha,TC_DOF
01/11/1991,3.0677
01/12/1991,3.0739
01/01/1992,3.0685
01/02/1992,3.0608
01/03/1992,3.0683
01/04/1992,3.0794
01/05/1992,3.1168
01/06/1992,3.1229
01/07/1992,3.1113
01/08/1992,3.081
01/09/1992,3.1131
01/10/1992,3.1309
01/11/1992,3.1149
01/12/1992,3.123
01/01/1993,3.103
01/02/1993,3.0974
01/03/1993,3.0937
01/04/1993,3.1152
01/05/1993,3.1224
01/06/1993,3.1186
01/07/1993,3.1204
01/08/1993,3.1142
01/09/1993,3.1178
01/10/1993,3.1293
01/11/1993,3.1065
01/12/1993,3.1099
01/01/1994,3.1059
01/02/1994,3.2113
01/03/1994,3.35
01/04/1994,3.2763
01/05/1994,3.3276
01/06/1994,3.3865
01/07/1994,3.4006
01/08/1994,3.3815
01/09/1994,3.398
01/10/1994,3.436
01/11/1994,3.441
01/12/1994,4.94
01/01/1995,6.5
01/02/1995,6.0775
01/03/1995,6.78
01/04/1995,5.8983
01/05/1995,6.26
01/06/1995,6.2621
01/07/1995,6.1052
01/08/1995,6.28
01/09/1995,6.4042
01/10/1995,6.9342
01/11/1995,7.4775
01/12/1995,7.6842
01/01/1996,7.3699
01/02/1996,7.5573
01/03/1996,7.5375
01/04/1996,7.4526
01/05/1996,7.4367
01/06/1996,7.6323
01/07/1996,7.5713
01/08/1996,7.5205
01/09/1996,7.5383
01/10/1996,7.9883
01/11/1996,7.8858
01/12/1996,7.8557
01/01/1997,7.8409
01/02/1997,7.8358
01/03/1997,7.9126
01/04/1997,7.9743
01/05/1997,7.9082
01/06/1997,7.9517
01/07/1997,7.7658
01/08/1997,7.7746
01/09/1997,7.8158
01/10/1997,8.3433
01/11/1997,8.2165
01/12/1997,8.064
01/01/1998,8.464
01/02/1998,8.5583
01/03/1998,8.5353
01/04/1998,8.5029
01/05/1998,8.7873
01/06/1998,9.0228
01/07/1998,8.9008
01/08/1998,10.0275
01/09/1998,10.1119
01/10/1998,10.2198
01/11/1998,9.9676
01/12/1998,9.9395
01/01/1999,10.1752
01/02/1999,9.9836
01/03/1999,9.5376
01/04/1999,9.2622
01/05/1999,9.7833
01/06/1999,9.4165
01/07/1999,9.426
01/08/1999,9.4095
01/09/1999,9.3565
01/10/1999,9.6357
01/11/1999,9.3737
01/12/1999,9.5222
01/01/2000,9.5727
01/02/2000,9.4033
01/03/2000,9.3015
01/04/2000,9.4521
01/05/2000,9.516
01/06/2000,9.9003
01/07/2000,9.3578
01/08/2000,9.2108
01/09/2000,9.429
01/10/2000,9.5995
01/11/2000,9.3973
01/12/2000,9.5997
01/01/2001,9.6692
01/02/2001,9.6827
01/03/2001,9.5203
01/04/2001,9.3049
01/05/2001,9.1653
01/06/2001,9.09
01/07/2001,9.1472
01/08/2001,9.1692
01/09/2001,9.5542
01/10/2001,9.2682
01/11/2001,9.2815
01/12/2001,9.1692
01/01/2002,9.1974
01/02/2002,9.0919
01/03/2002,9.0243
01/04/2002,9.3542
01/05/2002,9.7148
01/06/2002,9.9615
01/07/2002,9.741
01/08/2002,9.9193
01/09/2002,10.1767
01/10/2002,10.2263
01/11/2002,10.1193
01/12/2002,10.3613
01/01/2003,10.8636
01/02/2003,11.0333
01/03/2003,10.6698
01/04/2003,10.345
01/05/2003,10.3205
01/06/2003,10.4176
01/07/2003,10.487
01/08/2003,10.9806
01/09/2003,11.0446
01/10/2003,11.1058
01/11/2003,11.3385
01/12/2003,11.1998
01/01/2004,11.0843
01/02/2004,11.0715
01/03/2004,11.2103
01/04/2004,11.4068
01/05/2004,11.4128
01/06/2004,11.5297
01/07/2004,11.4302
01/08/2004,11.4231
01/09/2004,11.4288
01/10/2004,11.5293
01/11/2004,11.266
01/12/2004,11.2183
01/01/2005,11.2613
01/02/2005,11.1086
01/03/2005,11.2293
01/04/2005,11.1159
01/05/2005,10.8699
01/06/2005,10.7645
01/07/2005,10.6201
01/08/2005,10.8377
01/09/2005,10.8131
01/10/2005,10.8447
01/11/2005,10.5702
01/12/2005,10.7109
01/01/2006,10.4416
01/02/2006,10.4661
01/03/2006,10.9228
01/04/2006,11.1135
01/05/2006,11.2693
01/06/2006,11.4009
01/07/2006,10.8947
01/08/2006,10.865
01/09/2006,11.0502
01/10/2006,10.774
01/11/2006,10.9983
01/12/2006,10.8755
01/01/2007,11.0548
01/02/2007,11.1493
01/03/2007,11.0507
01/04/2007,10.9305
01/05/2007,10.818
01/06/2007,10.7926
01/07/2007,10.9812
01/08/2007,11.0848
01/09/2007,10.9203
01/10/2007,10.7198
01/11/2007,10.9417
01/12/2007,10.9043
01/01/2008,10.8374
01/02/2008,10.6813
01/03/2008,10.6987
01/04/2008,10.5272
01/05/2008,10.3066
01/06/2008,10.3028
01/07/2008,10.034
01/08/2008,10.1822
01/09/2008,10.9397
01/10/2008,12.8342
01/11/2008,13.2325
01/12/2008,13.7738
01/01/2009,14.1975
01/02/2009,14.9322
01/03/2009,14.3855
01/04/2009,13.6485
01/05/2009,13.2337
01/06/2009,13.1812
01/07/2009,13.2223
01/08/2009,13.2579
01/09/2009,13.5513
01/10/2009,13.0825
01/11/2009,12.9139
01/12/2009,13.0437
01/01/2010,12.9975
01/02/2010,12.8503
01/03/2010,12.4145
01/04/2010,12.2465
01/05/2010,12.8589
01/06/2010,12.8394
01/07/2010,12.7038
01/08/2010,13.1367
01/09/2010,12.4801
01/10/2010,12.4023
01/11/2010,12.5538
01/12/2010,12.3817
01/01/2011,12.1214
01/02/2011,12.1235
01/03/2011,11.9219
01/04/2011,11.5428
01/05/2011,11.6123
01/06/2011,11.7748
01/07/2011,11.6821
01/08/2011,12.4838
01/09/2011,13.4567
01/10/2011,13.1132
01/11/2011,13.9538
01/12/2011,13.9787
01/01/2012,13.0063
01/02/2012,12.8575
01/03/2012,12.8489
01/04/2012,13.0141
01/05/2012,14.0749
01/06/2012,13.653
01/07/2012,13.2644
01/08/2012,13.4172
01/09/2012,12.8521
01/10/2012,13.0498
01/11/2012,12.9617
01/12/2012,12.988
01/01/2013,12.7408
01/02/2013,12.8322
01/03/2013,12.3546
01/04/2013,12.1326
01/05/2013,12.7781
01/06/2013,13.0235
01/07/2013,12.7635
01/08/2013,13.3104
01/09/2013,13.145
01/10/2013,12.864
01/11/2013,13.0836
01/12/2013,13.0652
01/01/2014,13.3207
01/02/2014,13.3066
01/03/2014,13.0841
01/04/2014,13.1039
01/05/2014,12.8462
01/06/2014,13.0002
01/07/2014,13.1357
01/08/2014,13.1109
01/09/2014,13.4891
01/10/2014,13.4316
01/11/2014,13.7667
01/12/2014,14.7348
01/01/2015,14.8414
01/02/2015,14.9624
01/03/2015,15.2427
01/04/2015,15.2043
01/05/2015,15.3737
01/06/2015,15.6599
01/07/2015,16.4512
01/08/2015,16.7684
01/09/2015,17.0771
01/10/2015,16.6219
01/11/2015,16.5784
01/12/2015,17.3398
01/01/2016,18.2906
01/02/2016,18.1706
01/03/2016,17.2509
01/04/2016,17.2125
01/05/2016,18.4777
01/06/2016,18.555
01/07/2016,18.8979
01/08/2016,18.7953
01/09/2016,19.4086
01/10/2016,18.7304
01/11/2016,20.6225
01/12/2016,20.664
01/01/2017,20.7588
01/02/2017,19.8322
01/03/2017,18.7079
01/04/2017,19.067
01/05/2017,18.6643
01/06/2017,18.0279
01/07/2017,17.7435
01/08/2017,17.7753
01/09/2017,18.1979
01/10/2017,19.2188
01/11/2017,18.519
01/12/2017,19.7354
01/01/2018,18.6982
01/02/2018,18.7902
01/03/2018,18.3445
01/04/2018,18.6847
01/05/2018,19.7322
01/06/2018,19.8633
01/07/2018,18.5413
01/08/2018,19.1258
01/09/2018,18.812
01/10/2018,20.0258
01/11/2018,20.2217
01/12/2018,19.6566
01/01/2019,19.1623
01/02/2019,19.2201
01/03/2019,19.3793
01/04/2019,19.012
01/05/2019,19.0683
01/06/2019,19.1685
01/07/2019,19.0747
01/08/2019,20.0988
01/09/2019,19.6808
01/10/2019,19.1643
01/11/2019,19.6113
01/12/2019,18.8727
01/01/2020,18.7853
01/02/2020,19.3973
01/03/2020,24.2853
01/04/2020,24.0002
01/05/2020,22.204
01/06/2020,23.1325
01/07/2020,22.1727
01/08/2020,21.8602
01/09/2020,22.3598
01/10/2020,21.377
01/11/2020,20.0777
01/12/2020,19.9352
01/01/2021,20.2697
01/02/2021,20.8523
01/03/2021,20.6025
01/04/2021,20.0978
01/05/2021,19.9442
01/06/2021,19.8157
01/07/2021,19.8448
01/08/2021,20.1403
01/09/2021,20.4977
01/10/2021,20.3255
01/11/2021,21.7333
01/12/2021,20.5157
01/01/2022,20.8597
01/02/2022,20.4465
01/03/2022,19.8632
01/04/2022,20.567
01/05/2022,19.4953
01/06/2022,20.1443
01/07/2022,20.3778
01/08/2022,20.1465
01/09/2022,20.1927
01/10/2022,19.8303
01/11/2022,19.216
01/12/2022,19.3615
01/01/2023,18.7793
01/02/2023,18.4077
01/03/2023,18.0932
01/04/2023,18.0723
01/05/2023,17.6532
01/06/2023,17.1187
01/07/2023,16.6895
01/08/2023,16.7477
01/09/2023,17.6195
01/10/2023,18.064
01/11/2023,17.187
01/12/2023,16.8935
01/01/2024,17.1932
01/02/2024,17.0962
01/03/2024,16.678
01/04/2024,17.0243
01/05/2024,16.9377
01/06/2024,18.3773
01/07/2024,18.79
01/08/2024,19.8168
01/09/2024,19.6697
01/10/2024,20.1617
01/11/2024,20.4173
01/12/2024,20.5103
01/01/2025,20.4497
01/02/2025,20.4722
01/03/2025,20.4003
01/04/2025,19.5868
01/05/2025,19.328
01/06/2025,18.8483
01/07/2025,18.796
01/08/2025,18.6522
