fecha,tipo_ingreso,linea,ingreso
2012-01-01,Boletos,Línea 1,648825
2012-01-01,Boletos,Línea 2,657120
2012-01-01,Boletos,Línea 3,466803
2012-01-01,Boletos,Línea 4,60120
2012-01-01,Boletos,Línea 5,242280
2012-01-01,Boletos,Línea 6,138525
2012-01-01,Boletos,Línea 7,138690
2012-01-01,Boletos,Línea 8,328383
2012-01-01,Boletos,Línea 9,176400
2012-01-01,Boletos,Línea A,275370
2012-01-01,Boletos,Línea B,472665
2012-01-01,Boletos,Línea 12,NaN
2012-01-01,Recargas,Línea 1,185792.5
2012-01-01,Recargas,Línea 2,230394
2012-01-01,Recargas,Línea 3,172118
2012-01-01,Recargas,Línea 4,19707
2012-01-01,Recargas,Línea 5,71305
2012-01-01,Recargas,Línea 6,39235
2012-01-01,Recargas,Línea 7,60717.5
2012-01-01,Recargas,Línea 8,110213
2012-01-01,Recargas,Línea 9,77192
2012-01-01,Recargas,Línea A,78274
2012-01-01,Recargas,Línea B,144235
2012-01-01,Recargas,Línea 12,NaN
2012-01-01,Tarjetas,Línea 1,1810
2012-01-01,Tarjetas,Línea 2,2360
2012-01-01,Tarjetas,Línea 3,1520
2012-01-01,Tarjetas,Línea 4,160
2012-01-01,Tarjetas,Línea 5,890
2012-01-01,Tarjetas,Línea 6,310
2012-01-01,Tarjetas,Línea 7,570
2012-01-01,Tarjetas,Línea 8,730
2012-01-01,Tarjetas,Línea 9,690
2012-01-01,Tarjetas,Línea A,270
2012-01-01,Tarjetas,Línea B,1190
2012-01-01,Tarjetas,Línea 12,NaN
2012-01-02,Boletos,Línea 1,1532940
2012-01-02,Boletos,Línea 2,1491780
2012-01-02,Boletos,Línea 3,1168590
2012-01-02,Boletos,Línea 4,165690
2012-01-02,Boletos,Línea 5,437025
2012-01-02,Boletos,Línea 6,286620
2012-01-02,Boletos,Línea 7,433323
2012-01-02,Boletos,Línea 8,777951
2012-01-02,Boletos,Línea 9,504600
2012-01-02,Boletos,Línea A,514455
2012-01-02,Boletos,Línea B,965385
2012-01-02,Boletos,Línea 12,NaN
2012-01-02,Recargas,Línea 1,799485
2012-01-02,Recargas,Línea 2,1017537.5
2012-01-02,Recargas,Línea 3,752359
2012-01-02,Recargas,Línea 4,98030
